dataset,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,0.7,short,Decision Tree,26,1.27121094799434,1.7157901393327208,19958.0,,,
history_only,0.7,short,Random Forest,26,1.270600527867283,1.7137579075848028,19958.0,,,
history_only,0.7,short,Naive (persistence),27,1.212771289659666,1.869160162022684,19951.0,,,
history_only,0.7,short,Linear Regression,27,1.2569593737360871,1.7372588069959292,19951.0,,,
history_only,0.7,short,Decision Tree,27,1.2596801191720493,1.705566424221444,19951.0,,,
history_only,0.7,short,Random Forest,27,1.259244424243713,1.703896713336759,19951.0,,,
history_only,0.7,short,Naive (persistence),28,1.2028077212333919,1.849813498014855,19945.0,,,
history_only,0.7,short,Linear Regression,28,1.2416029642717945,1.7160287533728829,19945.0,,,
history_only,0.7,short,Decision Tree,28,1.2398358306631645,1.6769004426937721,19945.0,,,
history_only,0.7,short,Random Forest,28,1.2392052051607931,1.675846701500837,19945.0,,,
history_only,0.7,short,Naive (persistence),29,1.1883055012286245,1.8356307208758242,19941.0,,,
history_only,0.7,short,Linear Regression,29,1.2425273340546497,1.721343868195605,19941.0,,,
history_only,0.7,short,Decision Tree,29,1.23600836696979,1.6658539972917914,19941.0,,,
history_only,0.7,short,Random Forest,29,1.2363111261579098,1.6658388151419035,19941.0,,,
history_only,0.7,short,Linear Regression,ALL_MEAN,1.260331659494766,,,0.01857742859571092,-0.03648094592733897,5.0
history_only,0.7,short,Decision Tree,ALL_MEAN,1.259619103267163,,,0.020448568771442247,-0.03589494862476528,5.0
history_only,0.7,short,Random Forest,ALL_MEAN,1.2593769221073092,,,0.020485640549825126,-0.03569578187706046,5.0
history_only,0.7,short,Naive (persistence),ALL_MEAN,1.2159718559680301,,,0.02105544841945404,0.0,5.0
history_only,0.7,medium,Naive (persistence),25,1.6157704654895666,2.4159631639639745,19936.0,,,
history_only,0.7,medium,Linear Regression,25,1.585266750949541,2.1685734667424126,19936.0,,,
history_only,0.7,medium,Decision Tree,25,1.5576942573027348,2.1220512661519217,19936.0,,,
history_only,0.7,medium,Random Forest,25,1.5568915433758845,2.1208453157757514,19936.0,,,
