dataset,weibull_shape,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2.0,0.5,medium,Naive (always 'not congested'),27,0.9344641868425027,0.0,0.0,0.0,19867.0,0.06553581315749736,,,,,
history_only,2.0,0.5,medium,Naive (persistence),27,0.8809080384557306,0.09202453987730061,0.09216589861751152,0.0920951650038373,19867.0,0.06553581315749736,,,,,
history_only,2.0,0.5,medium,Logistic Regression,27,0.9344641868425027,0.0,0.0,0.0,19867.0,0.06553581315749736,,,,,
history_only,2.0,0.5,medium,Random Forest,27,0.934262847938793,0.0,0.0,0.0,19867.0,0.06553581315749736,,,,,
history_only,2.0,0.5,medium,Naive (always 'not congested'),28,0.9237980042334442,0.0,0.0,0.0,19842.0,0.07620199576655579,,,,,
history_only,2.0,0.5,medium,Naive (persistence),28,0.8657393407922589,0.11904761904761904,0.11904761904761904,0.11904761904761904,19842.0,0.07620199576655579,,,,,
history_only,2.0,0.5,medium,Logistic Regression,28,0.9237980042334442,0.0,0.0,0.0,19842.0,0.07620199576655579,,,,,
history_only,2.0,0.5,medium,Random Forest,28,0.9237980042334442,0.5,0.0013227513227513227,0.002638522427440633,19842.0,0.07620199576655579,,,,,
history_only,2.0,0.5,medium,Naive (always 'not congested'),29,0.9203058965586637,0.0,0.0,0.0,19876.0,0.07969410344133629,,,,,
history_only,2.0,0.5,medium,Naive (persistence),29,0.8575669148722077,0.105629348513599,0.10542929292929293,0.10552922590837283,19876.0,0.07969410344133629,,,,,
history_only,2.0,0.5,medium,Logistic Regression,29,0.9203058965586637,0.0,0.0,0.0,19876.0,0.07969410344133629,,,,,
history_only,2.0,0.5,medium,Random Forest,29,0.9203058965586637,0.5,0.0012626262626262627,0.0025188916876574307,19876.0,0.07969410344133629,,,,,
history_only,2.0,0.5,medium,Naive (always 'not congested'),ALL_MEAN,0.9255838038888691,0.0,0.0,0.0,,0.0744161961111309,0.004967715408766339,0.0,0.0,0.0,5.0
history_only,2.0,0.5,medium,Naive (persistence),ALL_MEAN,0.8681712227136055,0.11394250249153573,0.11401791583186419,0.1139800694245618,,0.0744161961111309,0.007890724523151474,0.013377462755694408,0.013428061111194184,0.013402147577548762,5.0
history_only,2.0,0.5,medium,Logistic Regression,ALL_MEAN,0.9255938891089789,0.2,0.00012970168612191958,0.0002592352559948153,,0.0744161961111309,0.004960969340265739,0.4000000000000001,0.0002594033722438391,0.0005184705119896306,5.0
history_only,2.0,0.5,medium,Random Forest,ALL_MEAN,0.9255536558510142,0.31304347826086953,0.0022031974366604713,0.0043541665290899,,0.0744161961111309,0.00486962750090669,0.25670590294131324,0.0031669758322096135,0.006237282427205738,5.0
history_only,2.0,0.5,long,Naive (always 'not congested'),25,0.9269066196828593,0.0,0.0,0.0,19865.0,0.0730933803171407,,,,,
history_only,2.0,0.5,long,Naive (persistence),25,0.8652907123080795,0.07909215955983494,0.07920110192837465,0.0791465932553338,19865.0,0.0730933803171407,,,,,
history_only,2.0,0.5,long,Logistic Regression,25,0.9269066196828593,0.0,0.0,0.0,19865.0,0.0730933803171407,,,,,
history_only,2.0,0.5,long,Random Forest,25,0.9269066196828593,0.0,0.0,0.0,19865.0,0.0730933803171407,,,,,
history_only,2.0,0.5,long,Naive (always 'not congested'),26,0.9220412485502496,0.0,0.0,0.0,19831.0,0.0779587514497504,,,,,
history_only,2.0,0.5,long,Naive (persistence),26,0.8547224043164742,0.06683971447112265,0.0666235446313066,0.06673145448655653,19831.0,0.0779587514497504,,,,,
history_only,2.0,0.5,long,Logistic Regression,26,0.9220412485502496,0.0,0.0,0.0,19831.0,0.0779587514497504,,,,,
history_only,2.0,0.5,long,Random Forest,26,0.9220412485502496,0.0,0.0,0.0,19831.0,0.0779587514497504,,,,,
history_only,2.0,0.5,long,Naive (always 'not congested'),27,0.9348165299239946,0.0,0.0,0.0,19867.0,0.06518347007600543,,,,,
history_only,2.0,0.5,long,Naive (persistence),27,0.876730256203755,0.057515337423312884,0.05791505791505792,0.057714505579068875,19867.0,0.06518347007600543,,,,,
history_only,2.0,0.5,long,Logistic Regression,27,0.9348165299239946,0.0,0.0,0.0,19867.0,0.06518347007600543,,,,,
history_only,2.0,0.5,long,Random Forest,27,0.9348165299239946,0.0,0.0,0.0,19867.0,0.06518347007600543,,,,,
history_only,2.0,0.5,long,Naive (always 'not congested'),28,0.9239995968148372,0.0,0.0,0.0,19842.0,0.07600040318516278,,,,,
history_only,2.0,0.5,long,Naive (persistence),28,0.8575748412458422,0.06415343915343916,0.0643236074270557,0.06423841059602649,19842.0,0.07600040318516278,,,,,
history_only,2.0,0.5,long,Logistic Regression,28,0.9239995968148372,0.0,0.0,0.0,19842.0,0.07600040318516278,,,,,
history_only,2.0,0.5,long,Random Forest,28,0.9239995968148372,0.0,0.0,0.0,19842.0,0.07600040318516278,,,,,
history_only,2.0,0.5,long,Naive (always 'not congested'),29,0.9205574562286174,0.0,0.0,0.0,19876.0,0.07944254377138257,,,,,
history_only,2.0,0.5,long,Naive (persistence),29,0.8538941436908835,0.08096141682479444,0.08106396453451552,0.0810126582278481,19876.0,0.07944254377138257,,,,,
history_only,2.0,0.5,long,Logistic Regression,29,0.9205574562286174,0.0,0.0,0.0,19876.0,0.07944254377138257,,,,,
history_only,2.0,0.5,long,Random Forest,29,0.9205574562286174,0.0,0.0,0.0,19876.0,0.07944254377138257,,,,,
history_only,2.0,0.5,long,Naive (always 'not congested'),ALL_MEAN,0.9256642902401117,0.0,0.0,0.0,,0.07433570975988837,0.005045478422967309,0.0,0.0,0.0,5.0
history_only,2.0,0.5,long,Naive (persistence),ALL_MEAN,0.8616424715530069,0.06971241348650081,0.06982545528726208,0.06976872442896676,,0.07433570975988837,0.008548923181397527,0.00897154359366272,0.008906031297149062,0.00893850147254321,5.0
history_only,2.0,0.5,long,Logistic Regression,ALL_MEAN,0.9256642902401117,0.0,0.0,0.0,,0.07433570975988837,0.005045478422967309,0.0,0.0,0.0,5.0
history_only,2.0,0.5,long,Random Forest,ALL_MEAN,0.9256642902401117,0.0,0.0,0.0,,0.07433570975988837,0.005045478422967309,0.0,0.0,0.0,5.0
history_only,2.0,0.5,extra_long,Naive (always 'not congested'),25,0.9270576390636799,0.0,0.0,0.0,19865.0,0.07294236093632016,,,,,
history_only,2.0,0.5,extra_long,Naive (persistence),25,0.8656430908633275,0.08046767537826685,0.08074534161490683,0.08060626937650706,19865.0,0.07294236093632016,,,,,
history_only,2.0,0.5,extra_long,Logistic Regression,25,0.9270576390636799,0.0,0.0,0.0,19865.0,0.07294236093632016,,,,,
history_only,2.0,0.5,extra_long,Random Forest,25,0.9270576390636799,0.0,0.0,0.0,19865.0,0.07294236093632016,,,,,
history_only,2.0,0.5,extra_long,Naive (always 'not congested'),26,0.9224446573546468,0.0,0.0,0.0,19831.0,0.07755534264535323,,,,,
history_only,2.0,0.5,extra_long,Naive (persistence),26,0.8585547879582471,0.08890330953926022,0.08907672301690507,0.08898993179603767,19831.0,0.07755534264535323,,,,,
history_only,2.0,0.5,extra_long,Logistic Regression,26,0.9224446573546468,0.0,0.0,0.0,19831.0,0.07755534264535323,,,,,
history_only,2.0,0.5,extra_long,Random Forest,26,0.9220916746507992,0.1111111111111111,0.0006501950585175553,0.001292824822236587,19831.0,0.07755534264535323,,,,,
history_only,2.0,0.5,extra_long,Naive (always 'not congested'),27,0.9343131826647204,0.0,0.0,0.0,19867.0,0.0656868173352796,,,,,
history_only,2.0,0.5,extra_long,Naive (persistence),27,0.8774349423667388,0.06671779141104295,0.06666666666666667,0.06669221924108854,19867.0,0.0656868173352796,,,,,
history_only,2.0,0.5,extra_long,Logistic Regression,27,0.9343131826647204,0.0,0.0,0.0,19867.0,0.0656868173352796,,,,,
history_only,2.0,0.5,extra_long,Random Forest,27,0.9343131826647204,0.0,0.0,0.0,19867.0,0.0656868173352796,,,,,
