dataset,weibull_shape,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2.0,0.7,medium,Random Forest,28,1.129169608384798,1.5542839859353352,19961.0,,,
history_only,2.0,0.7,medium,Naive (persistence),29,1.275,1.9754885750670492,19960.0,,,
history_only,2.0,0.7,medium,Linear Regression,29,1.1857464276417073,1.6423583660379053,19960.0,,,
history_only,2.0,0.7,medium,Decision Tree,29,1.1729246672460356,1.6331502281870338,19960.0,,,
history_only,2.0,0.7,medium,Random Forest,29,1.1734578407988896,1.6336860706313818,19960.0,,,
history_only,2.0,0.7,medium,Linear Regression,ALL_MEAN,1.1490824951596106,,,0.03199219436680388,0.04640724911138994,5.0
history_only,2.0,0.7,medium,Decision Tree,ALL_MEAN,1.128659542992358,,,0.03074402013986615,0.06335570948779812,5.0
history_only,2.0,0.7,medium,Random Forest,ALL_MEAN,1.1287148008376306,,,0.031043240788166466,0.0633098524837068,5.0
history_only,2.0,0.7,medium,Naive (persistence),ALL_MEAN,1.2050033875455035,,,0.043575844161134455,0.0,5.0
history_only,2.0,0.7,long,Naive (persistence),25,1.3325654764885573,2.089537642570136,19969.0,,,
history_only,2.0,0.7,long,Linear Regression,25,1.170791471257435,1.6086931727987501,19969.0,,,
history_only,2.0,0.7,long,Decision Tree,25,1.157322753613899,1.6034576099209283,19969.0,,,
history_only,2.0,0.7,long,Random Forest,25,1.1577862288734726,1.6051291581804699,19969.0,,,
history_only,2.0,0.7,long,Naive (persistence),26,1.4546730846369835,2.284515974350755,19944.0,,,
history_only,2.0,0.7,long,Linear Regression,26,1.268437985094903,1.8438969035502293,19944.0,,,
history_only,2.0,0.7,long,Decision Tree,26,1.2467794150121851,1.81192014899885,19944.0,,,
history_only,2.0,0.7,long,Random Forest,26,1.24727592652,1.8127347569983696,19944.0,,,
history_only,2.0,0.7,long,Naive (persistence),27,1.3076229138475417,2.0332893360221402,19953.0,,,
history_only,2.0,0.7,long,Linear Regression,27,1.1638977164972912,1.5797063725029632,19953.0,,,
history_only,2.0,0.7,long,Decision Tree,27,1.1508927141241365,1.5763735317776777,19953.0,,,
history_only,2.0,0.7,long,Random Forest,27,1.150869226245056,1.5752323031884004,19953.0,,,
history_only,2.0,0.7,long,Naive (persistence),28,1.3985772255899003,2.2067728021004283,19961.0,,,
history_only,2.0,0.7,long,Linear Regression,28,1.2301238168294844,1.7343289113521747,19961.0,,,
history_only,2.0,0.7,long,Decision Tree,28,1.2134480418767901,1.7231509763521886,19961.0,,,
history_only,2.0,0.7,long,Random Forest,28,1.2124941701109189,1.721055231636259,19961.0,,,
history_only,2.0,0.7,long,Naive (persistence),29,1.4792084168336674,2.3188367790804145,19960.0,,,
history_only,2.0,0.7,long,Linear Regression,29,1.2484117182384784,1.7554756281005788,19960.0,,,
history_only,2.0,0.7,long,Decision Tree,29,1.2398960857788424,1.7658085507412438,19960.0,,,
history_only,2.0,0.7,long,Random Forest,29,1.239701134980406,1.7650375413006638,19960.0,,,
history_only,2.0,0.7,long,Linear Regression,ALL_MEAN,1.2163325415835184,,,0.04185128447146331,0.12778280536470377,5.0
history_only,2.0,0.7,long,Decision Tree,ALL_MEAN,1.2016678020811706,,,0.040447067201365455,0.13829871077009814,5.0
history_only,2.0,0.7,long,Random Forest,ALL_MEAN,1.2016253373459704,,,0.04037307129475965,0.1383291617125345,5.0
history_only,2.0,0.7,long,Naive (persistence),ALL_MEAN,1.3945294234793302,,,0.06662799522412828,0.0,5.0
history_only,2.0,0.7,extra_long,Naive (persistence),25,1.2676648805648756,1.9840366484025482,19969.0,,,
