weibull_shape,rho,horizon,model,MAE_history,MAE_rich,rich_improvement
2.0,0.95,long,Decision Tree,3.2734471485159125,3.2738482420184054,-0.00012252939616730352
2.0,0.95,long,Random Forest,3.2720381267330048,3.272161215282862,-3.761831161175344e-05
2.0,0.95,long,Naive (persistence),3.383399889278613,3.383399889278613,0.0
2.0,0.95,extra_long,Linear Regression,2.9632319500985447,2.9346546496528347,0.009643963390972288
2.0,0.95,extra_long,Decision Tree,2.91483813249319,2.9149392151277573,-3.4678644224017674e-05
2.0,0.95,extra_long,Random Forest,2.912953071702567,2.9130718383620446,-4.0771909658010586e-05
2.0,0.95,extra_long,Naive (persistence),2.9825343573419314,2.9825343573419314,0.0
0.5,0.3,short,Linear Regression,0.3909441184118518,0.3872019113251886,0.009572230174136664
0.5,0.3,short,Decision Tree,0.3949609870631039,0.3894588861700195,0.013930745246505394
0.5,0.3,short,Random Forest,0.3950005289694963,0.3890921601747003,0.014957875651990027
0.5,0.3,short,Naive (persistence),0.3312181379733173,0.3312181379733173,0.0
0.5,0.3,medium,Linear Regression,0.4994812818334181,0.497930409940147,0.0031049649900360965
0.5,0.3,medium,Decision Tree,0.5010107247300587,0.4994281153414411,0.0031588333552545755
0.5,0.3,medium,Random Forest,0.5010231771053206,0.4993112476141974,0.0034168668623555387
0.5,0.3,medium,Naive (persistence),0.4412887817752726,0.4412887817752726,0.0
0.5,0.3,long,Linear Regression,0.5818211816673919,0.5818533237113871,-5.524385327992931e-05
0.5,0.3,long,Decision Tree,0.5830521845853316,0.5833819837747898,-0.000565642661458865
0.5,0.3,long,Random Forest,0.5825964301273305,0.5826847242056996,-0.00015155272810329912
0.5,0.3,long,Naive (persistence),0.5377133856422479,0.5377133856422479,0.0
0.5,0.3,extra_long,Linear Regression,0.5523323748698088,0.5518043493094608,0.0009559924139382892
0.5,0.3,extra_long,Decision Tree,0.5535360489217572,0.5528408128198932,0.0012559906499646223
0.5,0.3,extra_long,Random Forest,0.5534975762399524,0.5529467361653374,0.0009951987113602234
0.5,0.3,extra_long,Naive (persistence),0.5003617494834627,0.5003617494834627,0.0
0.5,0.5,short,Linear Regression,1.0583602286202425,1.063397880882894,-0.004759865428068055
0.5,0.5,short,Decision Tree,1.0830559922015826,1.0714295733098025,0.010734827170058359
0.5,0.5,short,Random Forest,1.081798657751874,1.070613254433868,0.010339635049326779
0.5,0.5,short,Naive (persistence),0.9621297533428363,0.9621297533428363,0.0
0.5,0.5,medium,Linear Regression,1.42511018118,1.4247476041120062,0.00025442037589940014
0.5,0.5,medium,Decision Tree,1.430280868558662,1.4244595176438049,0.004070075355705249
0.5,0.5,medium,Random Forest,1.429160692196284,1.42453287366294,0.0032381372917780205
0.5,0.5,medium,Naive (persistence),1.3402336222604427,1.3402336222604427,0.0
0.5,0.5,long,Linear Regression,1.7296261155922363,1.7264906736827483,0.001812785943287154
0.5,0.5,long,Decision Tree,1.7151891846694596,1.7214850441389948,-0.003670650168394518
0.5,0.5,long,Random Forest,1.7137908978525431,1.7166125270663888,-0.0016464256038359881
0.5,0.5,long,Naive (persistence),1.734506709049736,1.734506709049736,0.0
0.5,0.5,extra_long,Linear Regression,1.6170999786617977,1.614021645064485,0.0019036136527934566
