dataset,erlang_k,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2,0.5,medium,Random Forest,27,0.5555172959104175,0.804193026061158,19850.0,,,
history_only,2,0.5,medium,Naive (persistence),28,0.6458417237213049,1.2300563657441772,19864.0,,,
history_only,2,0.5,medium,Linear Regression,28,0.6124743303569615,0.9330218817385996,19864.0,,,
history_only,2,0.5,medium,Decision Tree,28,0.6109832198264878,0.9292469998907592,19864.0,,,
history_only,2,0.5,medium,Random Forest,28,0.610932738228601,0.9292449919653925,19864.0,,,
history_only,2,0.5,medium,Naive (persistence),29,0.5873151594407001,1.1330598240751037,19882.0,,,
history_only,2,0.5,medium,Linear Regression,29,0.5725904668546833,0.8423432784346461,19882.0,,,
history_only,2,0.5,medium,Decision Tree,29,0.571206755665205,0.838326170378884,19882.0,,,
history_only,2,0.5,medium,Random Forest,29,0.5706185438906104,0.8369007593797745,19882.0,,,
history_only,2,0.5,medium,Linear Regression,ALL_MEAN,0.5791461847475404,,,0.01907465414788168,0.03011985752447177,5.0
history_only,2,0.5,medium,Decision Tree,ALL_MEAN,0.5780871305363098,,,0.01860020848990463,0.0318934264028119,5.0
history_only,2,0.5,medium,Random Forest,ALL_MEAN,0.5777397918643735,,,0.01872108186493692,0.0324751048969415,5.0
history_only,2,0.5,medium,Naive (persistence),ALL_MEAN,0.5971317066759652,,,0.030721178507028147,0.0,5.0
history_only,2,0.5,long,Naive (persistence),25,0.6450118346175152,1.2277121123333457,19857.0,,,
history_only,2,0.5,long,Linear Regression,25,0.5899802782562417,0.8620664997918748,19857.0,,,
history_only,2,0.5,long,Decision Tree,25,0.5896288393092938,0.8621054772902317,19857.0,,,
history_only,2,0.5,long,Random Forest,25,0.5898114864372371,0.8621594976327105,19857.0,,,
history_only,2,0.5,long,Naive (persistence),26,0.618596208148447,1.2074546586612982,19832.0,,,
history_only,2,0.5,long,Linear Regression,26,0.5766731377743229,0.8516508421178869,19832.0,,,
history_only,2,0.5,long,Decision Tree,26,0.5770581373382014,0.8527800955973172,19832.0,,,
history_only,2,0.5,long,Random Forest,26,0.5768962411433632,0.8519988850690683,19832.0,,,
history_only,2,0.5,long,Naive (persistence),27,0.5849370277078085,1.1388491252026367,19850.0,,,
history_only,2,0.5,long,Linear Regression,27,0.5625499998914898,0.8075796627638326,19850.0,,,
history_only,2,0.5,long,Decision Tree,27,0.5623024908246633,0.8076678817057785,19850.0,,,
history_only,2,0.5,long,Random Forest,27,0.5623064288852233,0.8075543924181402,19850.0,,,
history_only,2,0.5,long,Naive (persistence),28,0.6930124848973016,1.3188356328596076,19864.0,,,
history_only,2,0.5,long,Linear Regression,28,0.6184223427201947,0.9428884031389497,19864.0,,,
history_only,2,0.5,long,Decision Tree,28,0.6181470986647956,0.9428102182194389,19864.0,,,
history_only,2,0.5,long,Random Forest,28,0.6179419251673158,0.9425126007699675,19864.0,,,
history_only,2,0.5,long,Naive (persistence),29,0.6176943969419576,1.1965774550252317,19882.0,,,
history_only,2,0.5,long,Linear Regression,29,0.5780350289901944,0.8457870751697081,19882.0,,,
history_only,2,0.5,long,Decision Tree,29,0.5779202273576391,0.8464205196037831,19882.0,,,
history_only,2,0.5,long,Random Forest,29,0.5777367430638006,0.8455768413611421,19882.0,,,
history_only,2,0.5,long,Linear Regression,ALL_MEAN,0.5851321575264887,,,0.018780941387063932,0.07393875772065728,5.0
history_only,2,0.5,long,Decision Tree,ALL_MEAN,0.5850113586989186,,,0.018700422156281035,0.07412994036356368,5.0
history_only,2,0.5,long,Random Forest,ALL_MEAN,0.584938564939388,,,0.018664007838621294,0.07424514763514156,5.0
history_only,2,0.5,long,Naive (persistence),ALL_MEAN,0.631850390462606,,,0.03603041635679011,0.0,5.0
history_only,2,0.5,extra_long,Naive (persistence),25,0.6426952711890014,1.2169175615935373,19857.0,,,
