dataset,erlang_k,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2,0.7,short,Naive (always 'not congested'),29,0.8196573489630298,0.0,0.0,0.0,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,short,Naive (persistence),29,0.8293758140466887,0.5269444444444444,0.5269444444444444,0.5269444444444444,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,short,Logistic Regression,29,0.8527201683198077,0.7304469273743017,0.29055555555555557,0.41573926868044514,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,short,Random Forest,29,0.8524696924155897,0.7347670250896058,0.2847222222222222,0.41041041041041043,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,short,Naive (always 'not congested'),ALL_MEAN,0.8212848029330904,0.0,0.0,0.0,,0.17871519706690964,0.008410167624974837,0.0,0.0,0.0,5.0
history_only,2,0.7,short,Naive (persistence),ALL_MEAN,0.8371875352546659,0.543710293417113,0.5441387501544257,0.5439243576152204,,0.17871519706690964,0.0047906590425314385,0.01951623006374743,0.019736752288465654,0.019625556990697776,5.0
history_only,2,0.7,short,Logistic Regression,ALL_MEAN,0.8605951329880879,0.7625204198206539,0.31807479099818475,0.4487257865750058,,0.17871519706690964,0.00591611354820729,0.021072541510593634,0.020868415590742602,0.024074605499392103,5.0
history_only,2,0.7,short,Random Forest,ALL_MEAN,0.8605851199963233,0.7706281216795554,0.31160284223564505,0.4435858045962678,,0.17871519706690964,0.00581484346574119,0.023238018128956907,0.021588691998989856,0.02537407824366816,5.0
history_only,2,0.7,medium,Naive (always 'not congested'),25,0.8189240633139652,0.0,0.0,0.0,19964.0,0.18107593668603486,,,,,
history_only,2,0.7,medium,Naive (persistence),25,0.7853636545782409,0.407611693325979,0.40885200553250345,0.40823090733324124,19964.0,0.18107593668603486,,,,,
history_only,2,0.7,medium,Logistic Regression,25,0.8390603085553997,0.7089397089397089,0.18865836791147994,0.29801179812104,19964.0,0.18107593668603486,,,,,
